text,predicted_class,class_ratio
"Fine fibres such as spider silk could lead to new and better microphones that sense airflow fluctuations rather than pressure changes.

Some insects, including mosquitos, flies and spiders, sense sound using fine hairs on their bodies that move with the sound waves travelling through the air. “We use our eardrums which pick up the direction of sound based on pressure, but most insects actually hear with their hairs,” explained Ron Miles, a professor at Binghamton University in New York.

Working alongside graduate student Jian Zhou, Miles recreated a similar system inside a microphone, which had better directional sensing across a wider range of frequencies than traditional models. It could give hearing aid or smartphone users the ability to cancel out background noise more effectively when having a conversation in a crowed area.

To create their microphone, Miles and Zhou used spider silk, which is thin enough that it moves with the air when hit by soundwaves. “This can even happen with infrasound at frequencies as low as 3 Hertz,” said Miles – that’s the equivalent of hearing the normally inaudible rumble of tectonic plates moving in an earthquake.

To translate the movement of the spider silk into an electronic signal, the researchers coated it with gold and placed it in a magnetic field. “It’s actually a fairly simple way to make an extremely effective microphone that microphone that has better directional capabilities across a wide range of frequencies,” said Miles.

Rob Malkin, an expert in bio-inspired acoustic devices from the University of Bristol, told Professional Engineering that the research demonstrated yet again “how a beautiful design from the insect world can lead to advancements in microphone engineering”.

He called the work a “step change” in how microphones could function in the future, as it expanded the narrow range of frequencies that insects can hear at, into a spectrum broad enough for humans. “The work is very encouraging as it shows that the physical process being exploited by many insects – that is hearing with hairs – is relatively simple, and should make the manufacture of broadband devices finally possible,” Malkin added.



 Content published by Professional Engineering does not necessarily represent the views of the Institution of Mechanical Engineers.","[0, 0, 0, 0, 0, 0, 0, 0]",{0: 1.0}
"William experienced ""a lot of excitement and a lot of danger,"" per a royal expert.",[0],{0: 1.0}
"Long Island, NY - October 31, 2017 - All around the nation, gang violence has affected us in a most tragic and unforgiving way. It has torn apart families, claimed countless lives, and turned once peaceful communities into dangerous neighborhoods. The Central American gang MS-13 in particular has caused irreparable and devastating harm, especially for us here on Long Island.

Only six months ago, four young men, two of whom were residents of the First Congressional District, were brutally murdered by this vicious gang is a senseless act of violence. MS-13’s brutality truly knows no bounds. However, this is a fight which can be won. The federal government is taking a no nonsense approach to eradicate violent gangs, including an announcement just last week that the Department of Justice would be designating MS-13 as a new focus within the Justice Department’s Organized Crime Drug Enforcement Task Forces (OCDETF). OCDETF is a nationwide effort that utilizes the resources and expertise of the United States’ leading law enforcement agencies to disrupt and dismantle major drug traffickers.

As a result of the Justice Department’s designation, OCDETF will be able to use expanded capabilities to dismantle this vicious gang. This includes not only the federal racketeering statute called RICO, but also drug laws, gun laws, tax laws, and other means as necessary to put an end to this scourge. The task forces are comprised of our top security and law enforcement officials, such as the Drug Enforcement Administration (DEA), U.S. Immigration and Customs Enforcement (ICE), and Federal Bureau of Investigation (FBI). Continued death and destruction only emphasizes the need for the Administration's laser-like focus on eliminating this threat.

Under this designation, the OCDETF will now direct its resources on coordinated, nationwide investigations, targeting the activities of MS-13, while assisting in the Attorney General's efforts to generate indictments against individuals who are members of, or otherwise associated with, this vicious gang. Utilizing FBI and DEA intelligence analysts, the OCDETF Fusion Center (OFC) will support coordinated, multi-jurisdictional investigations focused on the disruption and dismantlement of the most significant MS-13 activities. This gang has shown that it is an urgent, deadly threat; this designation will provide the resources necessary to remove MS-13 members, its associates, and its activities, off the streets of Long Island.

We must be working together with allies at every level of government, especially within law enforcement. It is critical that these heroes, who work tirelessly to protect us and have sacrificed so much in the fight against violent gangs, are provided with every means necessary to take down these criminals. Eliminating the threats posed by MS-13 and other gang activity must remain a top priority, and is a mutually shared concern for all Americans.

This past July, I accompanied President Trump to Long Island to discuss the ongoing effort to eradicate MS-13 in Suffolk County and nationwide. This was in addition to Attorney General Jeff Sessions’ visit to Central Islip this past April, when he also addressed the rise in gang violence in our community. Gangs like MS-13 have no place here, and I applaud our allies at all levels of government and in our local communities for their active interest in this dire concern.

As a member of Congress, I have been working hard to ensure our officers are given every tool necessary to carry out their selfless mission. Last year, we passed into law several key pieces of legislation on this front. Some of these bills included the Federal Law Enforcement Self-Defense and Protection Act (H.R. 2137) and Bulletproof Vest Partnership Grant Program Reauthorization Act (S. 125). This progress is important, but there is even more hard work that still lies ahead.

Deadly and disturbing does not even begin to describe some of the horrific crimes committed by this gang, and now more than ever before, we must band together to eradicate MS-13 and all others who intimidate and oppress our communities with violence.

Congressman Lee Zeldin, member of the House Foreign Affairs Committee and House Financial Services Committee, represents the First Congressional District of New York.","[0, 0, 0, 0, 0, 0, 0, 0, 0]",{0: 1.0}
"Luke Skywalker didn't want to rejoin the force -- until Han Solo convinced him.

Mark Hamill said he was not interested in reprising his iconic role as Luke Skywalker in the new “Star Wars” movies but signed on after Harrison Ford convinced him.

Hamill told The New York Times he was “just really scared” after “Star Wars” mastermind George Lucas informed him there were plans for more “Star Wars” movies that involved Skywalker, Solo and Princess Leia.

“I thought, why mess with it?’” Hamill told The New York Times. “The idea of catching lightning in a bottle twice was ridiculously remote.”

Hamill said Carrie Fisher, who played Princess Leia, was immediately on board with reprising her role in the new films.

“I said, ‘Carrie, poker face!’” Hamill said. “No one wants to see the 50-, 60-, 70-year-old versions of us, running around, bumping heads on the Death Star. It’s sad.”

Hamill said he was apprehensive about signing on and was sure Ford would also reject the opportunity.

Ford told Jimmy Kimmel in 2015 that he asked Lucas to kill off Solo during the original three films.

“I asked him to ask the writers to kill me off, because I thought that it would be good that the character who appeared to have not so much of a complex interweaving with the theme of the Force and all that good stuff.” Ford told Kimmel. “I thought it would be good that the character, if he sacrificed himself in some noble way.”

However, Ford’s character was not killed off.

“He’s (Ford) too old and too rich and too cranky,” Hamill said of Ford. “He’s not going to do this.”

To Hamill’s surprise, Ford was also on board for the new films.

“Can you imagine if I was the only one to say 'no'? I’d be the most hated man in nerd-dom,” Hamill said.

“Star Wars: The Force Awakens” director J.J. Abrams told The New York Times that Hamill “was not particularly happy” with how small his role was in the 2015 film.

“I let him know before he read the script that his role was minimal,” Abrams told The New York Times. “I don’t think he knew just how minimal until he read it.”

Hamill said the decision turned out well since the next film’s storyline, “Star Wars: The Last Jedi” revolved around Skywalker.

However, Hamill said he was “disappointed” Princess Leia would not get the air time she deserved. Fisher died on Dec. 27, 2016, at the age of 60 from cardiac arrest.

“She (Fisher) deserved that second act,” Hamill said. “Harrison was more prominent in VII, I’m more prominent in this one, and she was meant to be more prominent in the last one. Her timing was perfect, except in this case.”

“Star Wars: The Last Jedi” will hit theaters on Dec. 15.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",{0: 1.0}
"During the 2016 presidential campaign, Donald Trump advocated killing innocent families of suspected terrorists. “When you get these terrorists, you have to take out their families,” he declared. Besides the immorality of killing innocents, the targeting of civilians violates the Geneva Conventions.

The George W. Bush administration unlawfully detained and tortured suspected terrorists. Determined not to send more suspects to Guantánamo, Barack Obama’s administration illegally assassinated them with drones and other methods, killing many civilians in the process.

Now the Trump administration is killing record numbers of civilians and weakening the already-flimsy targeted killing rules Obama put in place.

To read more stories like this, visit Human Rights and Global Wrongs.

In 2013, the Obama administration promulgated a set of requirements regarding targeted killings “outside areas of active hostilities” in a Presidential Policy Guidance (PPG).

The New York Times reported on September 21, 2017, that Trump’s national security advisers proposed watering down Obama’s PPG. These recommendations to Trump are called Principles, Standards and Procedures, or PSP. On October 29, the Times reported, “Two government officials said Mr. Trump had recently signed his new rules for such kill-or-capture counterterrorism operations, without major changes” to the PSP.

Obama mounted both “personality strikes” — aimed at named suspected terrorists — and “signature strikes” — in which all military-age men in an area of suspicious activity could be killed. Signature strikes are often called “crowd killings” because those perpetrating the attacks don’t even know whom they are killing. Trump has presumably continued these two types of strikes.

The PPG required that the target pose a continuing, imminent threat to US persons. There is no indication that Trump’s new rules have changed this requirement. Moreover, even under Obama, a 2011 Department of Justice white paper said that a US citizen could be killed even when there was no “clear evidence that a specific attack on US persons and interests will take place in the immediate future.” Obama presumably set a lower bar for killing non-citizens.

Obama’s rules also mandated near certainty that an identified “high-value terrorist” or other lawful terrorist target is present before taking a strike. One official told the Times that the administration “reduced the required level of confidence that the intended target was present in a strike zone from ‘near certainty’ to ‘reasonable certainty.'” Signature strikes don’t target named individuals. Under the new Trump rules, targets would no longer be limited to high-value terrorists, but could also include foot soldiers with no leadership roles.

During the Obama administration, targeting decisions were made at the highest levels of government and the president reportedly had the final say about who would be assassinated. Under the PSP, however, these determinations would not require vetting by top administration officials, and could be made by commanders in the field.

Trump advisers recommended maintaining the PPG’s requirement of near certainty that civilians would not be injured or killed, and the administration agreed, according to the Times.

In spite of the PPG, the Obama administration killed many civilians. Obama’s Office of the Director of National Intelligence (ODNI) reported killing between 64 and 116 non-combatants “outside areas of active hostilities” from January 2009 to December 2015. That encompassed Pakistan, Yemen, Somalia and Libya. Civilian deaths in Afghanistan, Iraq and Syria were not included. And even for the included countries, the ODNI figures could be low: The London-based Bureau of Investigative Journalism estimated between 380 and 801 civilians killed outside areas of active hostilities during the same period.

Even before relaxing the rules, drone strikes and other targeted killings outside areas of active hostilities have already increased from one every 5.4 days during the Obama administration, to one every 1.25 days under Trump, Micah Zenko of the Council on Foreign Relations reported.

Trump granted increased authority to the CIA and the Pentagon to conduct drone strikes. He also loosened the targeted killing rules in large areas of Yemen and Somalia by designating them “areas of active hostilities.”

In March alone, the Trump administration killed 1,000 civilians in Iraq and Syria, according to Airwars, a non-governmental organization that monitors civilian casualties from airstrikes.

We can expect to see increasing numbers of civilian deaths as Trump continues the “war on terror” he inherited from his predecessors. Since Bush launched this war after 9/11, we have become more vulnerable to terrorism. Civilian killings heighten anger toward the United States and lead to stepped-up recruitment of those who would do us harm.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",{0: 1.0}
"During the 2016 presidential campaign, Donald Trump advocated killing innocent families of suspected terrorists. “When you get these terrorists, you have to take out their families,” he declared. Besides the immorality of killing innocents, the targeting of civilians violates the Geneva Conventions.

The George W. Bush administration unlawfully detained and tortured suspected terrorists. Determined not to send more suspects to Guantánamo, Barack Obama’s administration illegally assassinated them with drones and other methods, killing many civilians in the process.

Now the Trump administration is killing record numbers of civilians and weakening the already-flimsy targeted killing rules Obama put in place.

To read more stories like this, visit Human Rights and Global Wrongs.

In 2013, the Obama administration promulgated a set of requirements regarding targeted killings “outside areas of active hostilities” in a Presidential Policy Guidance (PPG).

The New York Times reported on September 21, 2017, that Trump’s national security advisers proposed watering down Obama’s PPG. These recommendations to Trump are called Principles, Standards and Procedures, or PSP. On October 29, the Times reported, “Two government officials said Mr. Trump had recently signed his new rules for such kill-or-capture counterterrorism operations, without major changes” to the PSP.

Obama mounted both “personality strikes” — aimed at named suspected terrorists — and “signature strikes” — in which all military-age men in an area of suspicious activity could be killed. Signature strikes are often called “crowd killings” because those perpetrating the attacks don’t even know whom they are killing. Trump has presumably continued these two types of strikes.

The PPG required that the target pose a continuing, imminent threat to US persons. There is no indication that Trump’s new rules have changed this requirement. Moreover, even under Obama, a 2011 Department of Justice white paper said that a US citizen could be killed even when there was no “clear evidence that a specific attack on US persons and interests will take place in the immediate future.” Obama presumably set a lower bar for killing non-citizens.

Obama’s rules also mandated near certainty that an identified “high-value terrorist” or other lawful terrorist target is present before taking a strike. One official told the Times that the administration “reduced the required level of confidence that the intended target was present in a strike zone from ‘near certainty’ to ‘reasonable certainty.'” Signature strikes don’t target named individuals. Under the new Trump rules, targets would no longer be limited to high-value terrorists, but could also include foot soldiers with no leadership roles.

During the Obama administration, targeting decisions were made at the highest levels of government and the president reportedly had the final say about who would be assassinated. Under the PSP, however, these determinations would not require vetting by top administration officials, and could be made by commanders in the field.

Trump advisers recommended maintaining the PPG’s requirement of near certainty that civilians would not be injured or killed, and the administration agreed, according to the Times.

In spite of the PPG, the Obama administration killed many civilians. Obama’s Office of the Director of National Intelligence (ODNI) reported killing between 64 and 116 non-combatants “outside areas of active hostilities” from January 2009 to December 2015. That encompassed Pakistan, Yemen, Somalia and Libya. Civilian deaths in Afghanistan, Iraq and Syria were not included. And even for the included countries, the ODNI figures could be low: The London-based Bureau of Investigative Journalism estimated between 380 and 801 civilians killed outside areas of active hostilities during the same period.

Even before relaxing the rules, drone strikes and other targeted killings outside areas of active hostilities have already increased from one every 5.4 days during the Obama administration, to one every 1.25 days under Trump, Micah Zenko of the Council on Foreign Relations reported.

Trump granted increased authority to the CIA and the Pentagon to conduct drone strikes. He also loosened the targeted killing rules in large areas of Yemen and Somalia by designating them “areas of active hostilities.”

In March alone, the Trump administration killed 1,000 civilians in Iraq and Syria, according to Airwars, a non-governmental organization that monitors civilian casualties from airstrikes.

We can expect to see increasing numbers of civilian deaths as Trump continues the “war on terror” he inherited from his predecessors. Since Bush launched this war after 9/11, we have become more vulnerable to terrorism. Civilian killings heighten anger toward the United States and lead to stepped-up recruitment of those who would do us harm.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",{0: 1.0}
"A drunk man is accused of pulling over on 84 in the Hudson Valley and exposing himself to cars that drove past him.

On Sunday, New York State Police from Brewster arrested 51-year-old Leonardo M. Fregoso, of Newtown, C.T., for fifth-degree criminal possession of a controlled substance, a felony, seventh-degree criminal possession of a controlled substance, driving while intoxicated, public lewdness, all misdemeanors, and exposure of a person, a violation.

Around 10 p.m. Sunday, troopers received a complaint about a man exposing himself to traffic on the Exit 21 ramp on Interstate 84.

The suspect’s vehicle was soon pulled over on Danbury Road. The driver, later identified as Fregoso, was found to be impaired by alcohol at that time of the stop, police say.

Fregoso is also accused of possessing around .63 grams of cocaine. An investigation revealed that Fregoso was the person who exposed himself, officials say.

Fregoso was arraigned in the Town of Patterson Justice Court and remanded to the Putnam County Jail in lieu of $1,000 cash bail or $2,000 bond.

Spot a typo? Let us know.
• You Can Now Order Food From Facebook in Hudson Valley
• Young Mother Missing For Nearly 600 Days May Be in Hudson Valley
• Hudson Valley Man Arrested For Driving With 26 Active Suspensions on License

Here are this week's Top 5 news stories from the Hudson Valley","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",{0: 1.0}
"Jeremiah Grant, an 8-year-old competitive jump roper from Jersey City, New Jersey, who was featured on Jimmy Fallon’s “Tonight Show” in August, was struck by a car and killed on Saturday afternoon.

Grant was walking home from a team fundraiser that afternoon when a 60-year-old man driving a red Jeep Compass hit him.

The child was rushed to Jersey City Medical Center where he was pronounced dead 20 minutes after the accident.

According to New York’s PIX 11, the operator of the SUV stopped after passing drivers and pedestrians alerted him that his vehicle had struck a pedestrian. The man stayed at the scene. No charges have been filed.

“We were saddened to hear of Jeremiah’s passing,” a “Tonight Show” spokesperson told TheWrap. “He was a break out performer and made so many people happy with his performance. We extend our deepest condolences to his family during this time.”

Watch Grant’s team, The Honey Bees, perform on the NBC late-night show above. He is the smallest member.","[0, 0, 0, 0, 0, 0]",{0: 1.0}
"A woman who acted as a surrogate mom for a couple from China accidently gave the couple her own flesh and blood child, and was almost forced to pay to adopt him back.

Jessica Allen, 31, was already a mother of two at the time she became a surrogate mom . She thought that the embryo that was implanted in her had split naturally into twins. She had no idea that a second embryo was developing in her womb, and that it was of her own flesh and blood, the New York Post reported.","[0, 0]",{0: 1.0}
"UPDATE: Gabriel Bracero was in inmate in Somerset County Jail in New Jersey, so he could not appear in court in Pennsylvania in October 2017. A pre-trial services officer in Northampton County blamed a miscommunication for the bench warrant issued for Bracero. The bench warrant was vacated Nov. 22, 2017.

Police are searching for a pro boxer who failed to show up at his trial after he allegedly shoved his wife, threatened witnesses and fought with a police officer.

Gabriel Bracero faces charges for three incidents within a three-month span at his former home in Northampton. The 36-year-old didn't show up for a pre-trial conference last week and failed to show up for the start of his trial Monday, according to Northampton County Assistant District Attorney Ed Penetar.

""There's a bench warrant out for him at this point,"" Penetar said Monday.

Bracero has a record of 24-3, according to the website boxrec.com. The welterweight's last fight was a loss on July 30, 2016, at the Barclay's Center in Brooklyn, the site says.

He spent almost six years in prison for attempted murder, according to an article in the New York Times. He told the Times in 2011 he was miserable, angry, ignorant and running with the wrong crowd when he went to prison.

""I'm glad that guy is dead,"" he said of his younger self in that 2011 report.

He allegedly shoved his wife into a wall on Oct. 8, 2016, at their home in the 600 block of Main Street. Then he sped off and fled police at speeds up to 75 mph, court records say.

He came back to the home Jan. 30 even though his estranged wife had a protection-from-abuse order barring him from showing up, police said. He allegedly confronted and threatened two men in the home at that time.

On Feb. 4 he came back a third time, police said. His wife hid in a closet and dialed 911, police said. Bracero ran from police and hid behind a concrete wall, where an officer shocked him with a Taser, police said.

He fought with an officer, forcing him to fall down an embankment and hurt his hips and back, police said.

Bracero is charged with two counts of simple assault and single counts of fleeing police, reckless driving, driving without a license and driving with no registration registration for the first incident.

He's charged with criminal trespass and two counts of intimidating witnesses in the second incident. And he's charged with aggravated assault, fighting to avoid apprehension and two counts of resisting arrest in the third incident.

Rudy Miller may be reached at rmiller@lehighvalleylive.com. Follow him on Twitter @RudyMillerLV. Find Easton area news on Facebook.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",{0: 1.0}
"The fifth anniversary of Superstorm Sandy happens to fall just on the other side of a summer bookended by devastating storms.

Below, we’ve collated damage reports to estimate how Sandy figures relative to the recent spate of disasters to strike U.S. shores, and to Hurricane Matthew, which knocked into solid ground this time last year.","[0, 0]",{0: 1.0}
"British police have widened their investigation into sexual assault claims against disgraced Hollywood producer Harvey Weinstein, according to local media reports.

Citing unidentified sources, the reports said London's Metropolitan Police was now investigating allegations by seven women over incidents that reportedly took place from the 1980s to 2015.

Police said on Tuesday that officers from its child abuse and sexual offences command were probing sexual assault allegations under what it called ""Operation Kaguyak"".

British police do not identify people under investigation until charges are laid.

According to the BBC, the Metropolitan Police said no arrests had yet been made.

The news came just days after the British Film Institute stripped Weinstein of its highest honour, saying his alleged ""appalling conduct"" stands in opposition to the organisation's values.

Police in Britain first confirmed they had opened an investigation into Weinstein in early October after receiving an allegation of sexual assault in the London area in the 1980s.

Weinstein is at the centre of a growing international scandal about sexual harassment.

Dozens of women, many of them actresses who encountered Weinstein in what was supposed to be a professional capacity, have come forward with allegations against him of behaviour ranging from persistent unwanted advances to rape.

In the United States, police in New York and Los Angeles have said they are investigating allegations of sexual assault against Weinstein.

In Britain, police are under an obligation to investigate certain types of allegations if they receive them.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",{0: 1.0}
"A woman who acted as a surrogate mom for a couple from China accidently gave the couple her own flesh and blood child, and was almost forced to pay to adopt him back.

Jessica Allen, 31, was already a mother of two at the time she became a surrogate mom . She thought that the embryo that was implanted in her had split naturally into twins. She had no idea that a second embryo was developing in her womb, and that it was of her own flesh and blood, the New York Post reported.","[0, 0]",{0: 1.0}
"When US President Donald Trump was confronted with the shocking events in Charlottesville, Virginia, in August 2017, his response followed his usual style: to attack “mainstream media” reports and try to reframe the media narrative. As a national debate over white supremacist iconography and Confederate statues reached a fever pitch, Trump stuck to these tactics. His strategies parallel those adopted by segregationists who flew the Confederate Battle Flag and fought against integration more than half a century ago.

Battling to preserve Jim Crow segregation in the South, many white southerners felt under siege by a national media ostensibly in favour of desegregation and civil rights. Just as “mainstream media” is to this day an epithet deployed by conservatives to denounce news stories unfavourable to their political agenda, throughout the 1950s and 1960s, white southern segregationists railed against national media outlets and peddled their own “alternative” narrative.

Segregationists claimed that the mainstream media was dominated by liberal, northern newspapers such as the New York Times and Washington Post and the three national television networks, ABC, CBS and NBC. According to segregationists, northern reporters were willing tools of communist, pro-integration groups dedicated to producing anti-South propaganda.

Many white southerners genuinely believed that the national (read: northern) press was thoroughly incapable of understanding the racial situation in the South, was unable to appreciate the apparent benefits of strict racial separation, and unqualified to present segregation and the white South’s resistance to integration fairly.

Riffing on the “iron curtain” that separated the Soviet Union from the West, Thomas R. Waring, the segregationist editor of the Charleston News and Courier, described the perceived bias of the northern press as a “paper curtain” that prevented the “truth” reaching the American public.

Some of the more adept advocates for racial separation accepted that so-called massive resistance could not succeed in the courts and Congress alone. They realised that to prevent racial change, they needed to sway public opinion. To that end, pro-segregation groups and individuals across the South churned out a compendium of “alternative” news sheets – comparable to the plethora of “alt-right” news websites and “alternative media” pounding the drum for Trump today.

And while segregationists saw national broadcast television as a threat and sought to contest its legitimacy, like Trump, they also appreciated its utility as a platform. The Citizens’ Councils, the most widespread and influential segregationist groups, even broadcast their own television and radio programme, the Citizens’ Council Forum. These enthusiastic advocates for Jim Crow disseminated their rebuttal to the northern media’s “fake news” throughout the nation.

More significantly, the now defunct Fairness Doctrine guaranteed segregationists airtime on nationally broadcast television programmes. Smartly dressed southern congressmen, senators, and Citizens’ Councils members appeared on American network television regularly and offered an articulate defence of segregation designed to reconfigure public perceptions of massive resistance. Images of rebellious white youths, mobs, demagogic southern politicians, and the brutal actions of southern law enforcement were not the only representations of white resistance seen in American living rooms.

Although Trump is operating within a different political context, his political methods are uncannily similar to those adopted by segregationists. One of the triumphs of his campaign was to fold a vendetta against immigrants and refugees, an assault on the Affordable Care Act (“Obamacare”), and a crusade against government regulation into a single “noble” quest to “Make America Great Again”. Similarly, segregationists’ alternative media narrative brought the South’s resistance to integration under the umbrella of broad conservative issues: preserving “states’ rights”, protecting the constitution, and maintaining national security during the Cold War.

In the same way that Trump labels anti-fascist protesters lawless thugs, segregationists labelled civil rights protesters as callous law-breakers. White southern segregationist lawmen such as Laurie Pritchett and white counter-protesters portrayed themselves as keepers of the peace. Segregationists asserted that they were upholding southern and American law against what they considered to be the actions of meddlesome “communist outsiders”, and argued that southern blacks were content and thriving under segregation.

Just as Trump seeks to legitimise the beliefs of his political base by (only half-heartedly) condemning contemporary far-right groups, segregationists sought to legitimise their resistance and their racially conservative political philosophy by denouncing the Ku Klux Klan and neo-Nazis as fringe extremists. These more strategic segregationists pitched their battle on a higher plane, maintaining that their cause was not grounded in hate.

Likewise, Trump attempted to turn the media focus away from Charlottesville and toward violent crime in Chicago, just as segregationists worked hard to redirect the spotlight towards northern urban centres. Segregationists claimed that national media outlets turned a blind eye to northern racial troubles and played up the racial unrest in the South. As such, white resisters propagated stories of racial crises that were supposedly facing “integrated” northern cities, arguing that the US’s real racial problems weren’t to be found in the segregated South.

The end of formal legal segregation ultimately couldn’t be stopped – but segregationists and their methods lived on in other ways. In the late 1960s, Republican Party tacticians adopted some of the more refined media strategies pioneered by segregationists such as George Wallace. White southern segregationists were enthusiastically absorbed into the party in order to mobilise a new national conservative movement. Simultaneously, some segregationists secured a sturdy foothold within US mainstream media. In the decades that followed, conservatism came to dominate US politics, resulting in the harsh rollback of civil rights legislation and the elimination of many federal polices designed to equalise American society.

Like Richard Nixon and Ronald Reagan before him, Trump employs many of the strategies pioneered by segregationists. He is forcefully reasserting a brand of conservative American politics, associated with the GOP since the late 1960s, that upholds white supremacy.

This is the historical context in which Trump’s politics and strategy must be taken. Given the proliferation of far-right groups in America and across the globe, it is important to reflect on the extent of segregationists’ attempts to win public support, and to stand against today’s poisonous and distorted “alternative” media narratives peddled by the right.

Above all, it must be remembered that those campaigning for civil rights during the 1950s and 1960s took on segregationists not only in the streets, but in a protracted public relations battle – and won.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",{0: 1.0}
"A woman who acted as a surrogate mom for a couple from China accidently gave the couple her own flesh and blood child, and was almost forced to pay to adopt him back.

Jessica Allen, 31, was already a mother of two at the time she became a surrogate mom . She thought that the embryo that was implanted in her had split naturally into twins. She had no idea that a second embryo was developing in her womb, and that it was of her own flesh and blood, the New York Post reported.","[0, 0]",{0: 1.0}
"WSHINGTON — President Donald Trump's top military and foreign policy advisers insisted Monday that he has no need for a new Congressional authority to allow US forces to wage a global war against militants.



US lawmakers are considering updating or repealing the Authorization for the Use of Military Force (AUMF) passed on Sept. 14, 2001, three days after the attacks on New York and Washington by Al-Qaeda hijackers.



This would help them claw back their constitutional authority to pronounce on decisions of war and peace, but Secretary of State Rex Tillerson and Secretary of Defense Jim Mattis insisted this would be premature and unnecessary.



""The United States has the legal authority to prosecute campaigns against the Taliban, Al-Qaeda and associated forces, including ISIS, and is not currently seeking any new or additional congressional authorization for the use of force,"" Tillerson told senators.



""The 2001 AUMF remains a cornerstone for ongoing US military operations and continues to provide legal authority relied upon to defeat this threat.""



Mattis agreed, and both senior figures insisted that if Congress seeks to replace the AUMF, it must not do so until another authorization is ready to immediately and seamlessly replace it, to provide legal cover for ongoing operations and the detention of suspects.



""We cannot put a firm timeline on conflict against an adaptive enemy who would hope that we haven't the will to fight as long as necessary,"" Mattis warned. ""This is a fight against a transnational enemy, one that does not respect international borders and does not place geographic limits on their areas of operations.""



Since the AUMF was passed, three presidents in succession have relied on the order's authority — and that of a subsequent 2002 AUMF — as they launched operations against armed militant groups in far-flung battle zones around the world.



Critics have long contended that George W. Bush, Barack Obama and now Donald Trump have exceeded the terms of an authorization initially aimed at Al-Qaida.



When four US soldiers were killed in an ambush by militants in Niger this month, many Americans were surprised to learn the Pentagon has deployed hundreds of troops in West Africa.



Some lawmakers are now pushing to reassert Congress's right, under the US Constitution, to decide when and where the United States can go to war, in the face of some White House resistance.



On Monday, Mattis and Tillerson brought the message to the Senate Foreign Relations Committee, chaired by Republican Senator Bob Corker, a Trump critic.



Corker said lawmakers were split on the path forward, unable to ""bridge the gap"" between those who want to craft a new, limited AUMF, and those who believe that ""constraining the commander in chief in wartime is unwise.""



Senator Ben Cardin, the committee's top Democrat, warned there was increasing opposition to an endless military authorization that essentially greenlights a ""global endless shadow war.""



In August, both Mattis and Tillerson testified behind closed doors on the same topic and Corker subsequently said they'd been ""open"" to the idea of revisiting the issue.



Since then, however, Corker has fallen out with Trump and become an open critic of the president, and calls for new oversight on US operations in Africa, the Middle East and Asia have grown.



In September, anti-war Republican Senator Rand Paul attempted to pass an amendment to a funding bill that would have repealed the AUMF.



Democratic committee member Senator Tim Kaine grilled Mattis and Tillerson over the extent of US military operations, in the wake of the deaths of four US service members in Niger this month.



""I think it's a forever war, and I worry deeply about handing the power to presidents to do this without consulting Congress,"" Kaine said, as he called for extensive public debate and a vote on an AUMF bill he crafted with Republican Senator Jeff Flake.



Flake added: ""Congress needs to weigh in.""



Paul asked Mattis and Tillerson no questions but instead lectured them about their desire for ""blanket"" war authority. He also called on his congressional colleagues to ""resist"" administrations that claim ""the ability to have pre-emptive war, anywhere, any time.""



""I am here to say very forcefully it is not your power,"" Paul told Trump's lieutenants. — AFP","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",{0: 1.0}
