x,y,sbert_text,GlobalEventID,cluster
1.739714,29.014517,$ 500 month is in rent,298182819,0
6.86052,22.100067,% are in three Arizona counties,298224590,0
-22.851048,-17.046017,* were convinced,298231728,0
5.641277,1.8330215,10 Freeway was shut down in directions,298120499,0
-25.201052,4.8143525,120 years is in prison,298231070,0
19.598372,21.310337,13 dog bites is in 2013,298102461,0
-1.3456793,-12.842003,14 were charged under Computer Fraud,298231728,0
-21.631035,-1.0130737,25 year old victim posted item,298146417,0
-25.186754,-0.24153252,25 year old woman to escape,298140977,0
11.861934,-33.83264,32 bit channel 933 MHz LPDDR3e RAM Other reported features hexa core Mali T628 GPU,298184504,6
11.369457,-33.575233,32 bit dual channel 933 MHz LPDDR3e RAM Other reported features hexa core Mali T628 GPU,298184504,6
-5.8369207,20.32266,32 miles southeast of Los Angeles,298140977,0
20.554285,21.197506,8 bites is in 2012,298102461,0
-21.757511,19.451422,8 decades after None is search for missing,298142325,0
-0.9105057,-35.69926,8MP camera Samsung 2MP front camera,298184504,1
-0.87345934,-35.593086,8MP primary camera Samsung 2MP front camera,298184504,1
22.310322,16.0414,94 national forest areas address insects,298226379,0
3.399828,11.254526,ABC ’s Week,298226379,0
6.8697605,26.380682,African Americans University of Arizona,298224590,0
11.464915,12.944312,Agriculture Secretary Tom Vilsack announced at_time Tuesday,298226379,0
-9.378728,-9.240243,Anyone is with information about incident,298235730,0
-2.4973896,-30.622845,Apple accused Samsung During month long trial,298184504,0
-5.4888473,-19.50023,Applebaum went as far mistake,298231728,0
32.158924,7.6757693,Arizona is in already prolonged drought,298224590,-1
28.811428,0.19862016,Arizona area interesting thing about Valley Fever,298224590,2
4.9134007,-6.759562,Assembly Bill remains for review,298225211,0
3.5190964,-5.2604194,Assembly Bill 1439 prohibit statewide Internet cafes,298225211,0
-11.853669,-10.175131,Authorities place closer number of victims,298182819,0
-32.895103,11.630551,Bedford Hills Correctional Facility is in Westchester County,298231070,-1
16.032658,-22.916584,Bettel told parliament in statement,298164947,0
-3.6540213,26.827322,Blue Line is in city 's Logan Square neighborhood,298146417,0
5.342845,21.682737,Blythe area near state border with Arizona,298227092,0
18.830782,-3.5087945,Borrowing would only occur if exhausted,298226379,0
30.400114,8.569652,Boxer identified droughts as evidence,298238829,-1
-4.3741035,2.8291922,Brown authorized few miles away his release year,298182819,0
-3.2692409,17.85694,California is on front lines,298226379,0
-2.894581,14.090964,California Bureau issued advisory In December,298225211,0
-0.5362302,21.183554,California Democrats included Mike Honda of San Jose,298238829,0
3.2584684,11.518698,California Gov. Jerry Brown told ABC ’s Week,298226379,0
-4.0270286,15.088615,California Highway Patrol officer told Associated Press,298243604,0
-33.218544,3.5364718,California man was sentenced Tuesday for two girls,298110967,-1
-5.46972,16.612154,California woman has come forward to police saying,298217172,0
0.27870354,12.931314,Caltrans said on Twitter,298120499,0
-11.689884,25.040453,Camtu Thai owner of month old L Pure Water at 1307 Jacklin Road,298225211,0
0.87780786,20.167192,Capps Honda of San Jose,298238829,0
-24.432564,13.368121,Carol Coronado was found according police,298121840,0
-24.18849,13.720209,Carol Coronado 30 was found according police,298121840,0
-16.147366,-16.228802,Chevrolet Suburban was heavily damaged according Times,298250022,0
-3.2659035,18.737434,Chicago Transit Authority near California O'Hare,298146417,0
-34.902122,2.621609,Co-defendant Ray Darnell Webb was sentenced to eight years in prison,298110967,-1
-34.894516,2.6319969,Co-defendant Ray Darnell Webb 20 was sentenced to eight years in prison,298110967,-1
20.920076,9.662682,Colorado ’s top firefighting official,298226379,0
-5.958127,-5.1614695,Connection was open Upon police arrival,298225211,0
48.159073,6.192741,Corals are seen at Great Barrier Reef,298224407,8
-33.3645,-3.2295654,Coronado had called earlier her mother,298235730,-1
-27.908894,14.084734,Coronado 's medical records Investigators her service,298143273,0
-33.833885,-2.8795474,Coronado 's mother arrived at home,298235730,-1
-26.62667,13.754573,Coronado 's records Investigators her service in military,298143273,0
-34.17521,-5.9527965,Coronado 's two daughters image ultrasound,298121840,-1
-34.399647,-5.676321,Coronado 's two older daughters image ultrasound of her child,298121840,-1
-27.363234,13.426743,Coronado ’s medical records Investigators her service in military,298250095,0
-26.753162,14.371708,Coronado ’s records Investigators her service in military,298250095,0
8.272595,-37.042637,Cortex A7 cores clocked at 1.3 GHz,298184504,-1
8.233072,12.25825,DENVER announced at_time Tuesday,298226379,0
-4.5568633,11.601979,Daniel Bogden Attorney for Nevada,298110967,0
-18.703821,-12.835368,Daniela was injured,298243604,0
10.933504,18.475653,Dayton also came in 28th place,298102461,0
-0.80370224,23.0652,Democrats were absent,298238829,0
-13.483706,11.96029,Deputies responded to reports of stabbing,298142325,0
10.492971,-27.94303,Details are Thanks for your feedback,298142325,3
-25.888603,-1.13941,Details emerged escape her captor local police,298140977,0
-12.490499,2.1990812,Detectives said on Wednesday,298121840,0
8.234585,-10.212614,Dirksen Senate office building is in Washington,298238829,0
23.132257,-10.930803,Dr. de Chazal says in rare cases,298224590,0
-15.954079,-12.521115,Driver Chris Raschke was treated by professionals,298142325,0
-8.738486,5.4860415,Editor is in Chief,298231728,0
38.133095,6.299155,El Ninos Could Double as Pacific Warms El Niño,298224407,4
36.75806,5.977763,El Niño have occurred since 1998,298224407,4
38.156097,5.2362742,El Niño events increase global average surface temperatures less than El Niño events,298224407,4
-18.337301,-22.234291,El Paso Los Angeles Limousine Express corporate office Families of injured passengers,298172865,0
-18.533186,-22.714254,El Paso Los Angeles Limousine Express office Families of passengers,298172865,0
-16.423344,-1.6038942,Evidence built case for Kazdin 's murder,298231154,0
-19.032473,-23.042542,Families may call El Paso Los Angeles Limousine Express office for information,298172865,0
-14.76565,14.123555,Family members told deputies,298144070,0
30.146713,-3.2778747,Fever is regional,298224590,2
15.068326,-13.2566395,Firstlook ’s founder is Pierre Omidyar,298231728,0
14.697657,-13.324052,Firstlook ’s founder was quoted as saying,298231728,0
20.658173,14.101742,Forest Service Also banned targets at_time Tuesday,298226379,0
10.733879,17.53839,Fort Wayne was 28 on list,298102461,0
36.71141,5.5698543,Four El Niño have occurred since 1998,298224407,4
-13.698528,-11.633012,Four people died at_time Wednesday morning,298120499,0
-14.221849,-23.262798,Fourteen others were transported by bus,298243604,0
5.2419815,-9.183264,Fox introduced bill,298182819,0
-11.124897,25.506031,Fran Norlock owner at 1351 Jacklin Road,298225211,0
5.3913,1.5555667,Freeway was shut down in directions,298120499,0
-39.159016,-0.5026455,Gabriel Olds made movie about Kimeses Like Mother,298231154,-1
-22.324991,8.290511,Garcia was live boyfriend According reports,298140977,0
41.856617,0.38291615,Geophysicists used sea surface temperature records from 1880,298224407,-1
-38.964584,6.3649945,Glamorous grifter died on Monday night,298231154,-1
-36.494747,6.8062925,Glamorous grifter died was ambassador Sante Kimes,298231154,-1
1.1145602,-18.79136,Glenn Greenwald tweeted at_time yesterday,298231728,0
1.3526831,-18.34678,Greenwald voice behind Wikileaks account,298231728,0
-12.092942,-6.0590873,He offended at_time 40 times,298182819,0
